k,m,pi,se_pi
1,0.0001,0.000216,1.4695358449305e-05
2,0.0001,0.000209,1.4455328704547957e-05
5,0.0001,0.000213,1.4661338477603134e-05
10,0.0001,0.000219,1.4797035444718592e-05
1,0.001,0.000191,1.3818961971280979e-05
2,0.001,0.000173,1.3151815234797205e-05
5,0.001,0.000205,1.4316360569578433e-05
10,0.001,0.000234,1.5295276327856188e-05
1,0.01,0.000201,1.417602906175773e-05
2,0.01,0.000192,1.385508310921763e-05
5,0.01,0.000246,1.568246568431539e-05
10,0.01,0.000243,1.5586570948774905e-05
1,0.1,0.000176,1.3265338290793796e-05
2,0.1,0.000195,1.3962885445428896e-05
5,0.1,0.000264,1.6245940044533214e-05
10,0.1,0.000423,2.0562623709572993e-05
1,0.4,0.000121,1.1089881964452175e-05
2,0.4,0.000164,1.2805204722036587e-05
5,0.4,0.000367,1.920587618062971e-05
10,0.4,0.000613,2.4791628539183252e-05
1,0.8,0.000104,1.0197513814125874e-05
2,0.8,0.000129,1.1357089767343034e-05
5,0.8,0.000228,1.509795495914079e-05
10,0.8,0.00042,2.0538354895755936e-05
