parent,child,branch_length,coalescence_time,deme,leaves_below
100,34,1,1,34,1
100,92,1,1,34,1
100,85,1,1,34,1
101,79,1,1,26,1
101,90,1,1,26,1
102,24,1,1,58,1
102,38,1,1,58,1
103,28,1,1,29,1
103,66,1,1,29,1
104,69,1,1,60,1
104,95,1,1,60,1
105,48,1,1,36,1
105,93,1,1,36,1
105,94,1,1,36,1
106,32,2,2,70,1
106,53,2,2,70,1
107,19,2,2,28,1
107,75,2,2,28,1
108,25,2,2,28,1
108,91,2,2,28,1
109,96,2,2,28,1
109,58,2,2,28,1
110,27,2,2,34,1
110,62,2,2,34,1
111,52,2,2,84,1
111,73,2,2,84,1
112,2,3,3,25,1
112,77,3,3,25,1
113,14,3,3,25,1
113,26,3,3,25,1
114,7,3,3,39,1
114,80,3,3,39,1
115,6,3,3,52,1
115,98,3,3,52,1
116,10,3,3,52,1
116,46,3,3,52,1
116,84,3,3,52,1
117,109,1,3,76,2
117,22,3,3,76,1
117,67,3,3,76,1
117,89,3,3,76,1
117,72,3,3,76,1
118,15,3,3,38,1
118,20,3,3,38,1
119,33,3,3,42,1
119,47,3,3,42,1
120,40,3,3,61,1
120,55,3,3,61,1
121,42,3,3,61,1
121,70,3,3,61,1
122,43,3,3,48,1
122,105,2,3,48,3
122,81,3,3,48,1
123,106,2,4,37,2
123,76,4,4,37,1
124,3,4,4,91,1
124,61,4,4,91,1
125,115,1,4,39,2
125,116,1,4,39,3
125,5,4,4,39,1
125,102,3,4,39,2
126,8,4,4,17,1
126,83,4,4,17,1
127,9,4,4,75,1
127,56,4,4,75,1
128,117,1,4,26,6
128,82,4,4,26,1
129,108,2,4,26,2
129,35,4,4,26,1
129,71,4,4,26,1
130,17,4,4,52,1
130,99,4,4,52,1
131,120,1,4,57,2
131,121,1,4,57,2
132,29,5,5,23,1
132,112,2,5,23,2
133,100,4,5,81,3
133,60,5,5,81,1
134,4,5,5,81,1
134,118,2,5,81,2
135,11,5,5,92,1
135,51,5,5,92,1
135,63,5,5,92,1
136,13,5,5,92,1
136,18,5,5,92,1
136,45,5,5,92,1
136,119,2,5,92,2
137,23,5,5,27,1
137,88,5,5,27,1
138,44,5,5,26,1
138,64,5,5,26,1
139,134,1,6,88,3
139,114,3,6,88,2
140,126,2,6,29,2
140,127,2,6,29,2
141,16,6,6,9,1
141,103,5,6,9,2
142,137,1,6,100,2
142,74,6,6,100,1
143,132,2,7,84,3
143,123,3,7,84,3
143,113,4,7,84,2
144,1,7,7,50,1
144,111,5,7,50,2
145,140,1,7,85,4
145,65,7,7,85,1
145,31,7,7,85,1
146,135,2,7,99,3
146,129,3,7,99,4
147,37,7,7,56,1
147,39,7,7,56,1
148,68,8,8,26,1
148,86,8,8,26,1
149,146,1,8,89,7
149,136,3,8,89,5
150,138,3,8,4,2
150,87,8,8,4,1
150,36,8,8,4,1
150,57,8,8,4,1
151,149,1,9,41,12
151,110,7,9,41,2
151,128,5,9,41,7
152,12,9,9,48,1
152,50,9,9,48,1
153,148,2,10,2,2
153,124,6,10,2,2
154,144,3,10,2,3
154,97,10,10,2,1
155,141,4,10,55,3
155,101,9,10,55,2
156,143,4,11,21,8
156,0,11,11,21,1
157,125,7,11,5,8
157,59,11,11,5,1
158,145,4,11,63,6
158,49,11,11,63,1
159,150,4,12,6,5
159,147,5,12,6,2
160,154,3,13,50,4
160,142,7,13,50,3
161,122,11,14,34,5
161,104,13,14,34,2
162,160,2,15,28,7
162,153,5,15,28,4
163,139,11,17,10,5
163,54,17,17,10,1
164,163,3,20,4,6
164,21,20,20,4,1
165,155,10,20,90,5
165,131,16,20,90,4
166,157,11,22,21,9
166,30,22,22,21,1
167,158,11,22,35,7
167,159,10,22,35,7
168,151,13,22,84,21
168,152,13,22,84,2
169,161,9,23,63,7
169,41,23,23,63,1
170,164,5,25,94,7
170,133,20,25,94,4
171,168,4,26,71,23
171,107,24,26,71,2
172,156,20,31,59,9
172,169,8,31,59,8
173,78,34,34,77,1
173,130,30,34,77,2
174,173,2,36,84,3
174,171,10,36,84,25
175,170,15,40,40,11
175,167,18,40,40,14
176,165,35,55,24,9
176,174,19,55,24,28
177,172,52,83,39,17
177,175,43,83,39,25
178,176,36,91,78,37
178,177,8,91,78,42
179,178,4,95,78,79
179,162,80,95,78,11
180,179,9,104,56,90
180,166,82,104,56,10
